rank,slug,thema,fach,stufe,ziel_r,typ,protokolle,als_fall,letzte12m,chat_alt,prot_alt,gefaltet_in,status
1,arzneimittelinteraktionen-uaw,Arzneimittelinteraktionen & UAW,Drittes Fach,KERN,5,Frage,157,0,37,0,0,,neu
2,schmerztherapie,Schmerztherapie / WHO-Schema,Drittes Fach,KERN,5,Frage,130,4,29,30,63,,
3,leistenhernie,Leistenhernie / Hernien,Allgemein- und Viszeralchirurgie,KERN,5,Frage,152,19,21,78,148,,
4,cholezystitis,Cholezystitis / Cholelithiasis,Allgemein- und Viszeralchirurgie,KERN,5,Frage,147,19,22,122,259,,
5,allgemeine-frakturlehre,Allgemeine Frakturlehre,Unfallchirurgie,KERN,5,Frage,122,8,29,12,56,,
6,vorhofflimmern,Vorhofflimmern,Kardiologie,KERN,5,Fall,138,53,22,130,223,,
7,aufklaerung-einwilligung-betreuung,"Aufklärung, Einwilligung & Betreuung",Drittes Fach,KERN,5,Frage,130,0,24,37,52,,
8,pneumothorax,Pneumothorax,Pneumologie,KERN,5,Frage,129,2,24,84,171,,
9,arterielle-hypertonie,Arterielle Hypertonie,Kardiologie,KERN,5,Fall,136,21,19,35,73,,
10,diabetes-mellitus,Diabetes mellitus,Endokrinologie,KERN,5,Fall,119,18,23,74,204,,
11,antikoagulation-bridging,Antikoagulation & Bridging,Drittes Fach,KERN,5,Frage,111,11,25,0,0,,neu
12,harnwegsinfekt,Harnwegsinfekt / Pyelonephritis,Nephrologie,KERN,5,Fall,128,22,17,12,55,,
13,proximale-femurfraktur,Proximale Femurfraktur,Unfallchirurgie,KERN,5,Frage,112,10,18,79,133,,
14,polytrauma-abcde,Polytrauma / ABCDE (Sturz),Unfallchirurgie,KERN,5,Frage,103,8,20,16,65,,
15,gastroduodenales-ulkus,Gastroduodenales Ulkus,Allgemein- und Viszeralchirurgie,KERN,5,Fall,109,23,18,88,130,,
16,acs-myokardinfarkt,ACS / Myokardinfarkt,Kardiologie,KERN,5,Frage,95,3,22,58,174,,
17,gi-blutung,GI-Blutung,Allgemein- und Viszeralchirurgie,KERN,5,Fall,112,48,17,79,157,,
18,bluttransfusion,Bluttransfusion,Drittes Fach,KERN,5,Frage,96,2,21,103,179,,
19,saeure-basen-bga,Säure-Basen-Haushalt / BGA,Notfallmedizin,KERN,5,Frage,103,5,17,0,0,,neu
20,schaedel-hirn-trauma,Schädel-Hirn-Trauma,Unfallchirurgie,KERN,5,Frage,95,3,19,27,54,,
21,appendizitis,Appendizitis,Allgemein- und Viszeralchirurgie,KERN,5,Frage,103,15,16,54,115,,
22,antibiotikatherapie,Antibiotikatherapie (kalkuliert),Drittes Fach,KERN,5,Frage,106,0,15,0,0,,neu
